Ancestor: 0, Descendant: 4514
Ancestor: 1, Descendant: 4035
Ancestor: 2, Descendant: 4486
Ancestor: 3, Descendant: 3577
Ancestor: 4, Descendant: 4278
Ancestor: 5, Descendant: 3879
Ancestor: 6, Descendant: 4170
Ancestor: 7, Descendant: 4691
Ancestor: 8, Descendant: 4432
Ancestor: 9, Descendant: 1353
