Ancestor: 0, Descendant: 3990
Ancestor: 1, Descendant: 2621
Ancestor: 2, Descendant: 2062
Ancestor: 3, Descendant: 3733
Ancestor: 4, Descendant: 3614
Ancestor: 5, Descendant: 3245
Ancestor: 6, Descendant: 1276
Ancestor: 7, Descendant: 1827
Ancestor: 8, Descendant: 3118
Ancestor: 9, Descendant: 3369
