Ancestor: 0, Descendant: 3224
Ancestor: 1, Descendant: 3995
Ancestor: 2, Descendant: 3086
Ancestor: 3, Descendant: 2447
Ancestor: 4, Descendant: 3988
Ancestor: 5, Descendant: 3159
Ancestor: 6, Descendant: 3320
Ancestor: 7, Descendant: 3921
Ancestor: 8, Descendant: 2462
Ancestor: 9, Descendant: 1373
