Ancestor: 0, Descendant: 3971
Ancestor: 1, Descendant: 3242
Ancestor: 2, Descendant: 3263
Ancestor: 3, Descendant: 3764
Ancestor: 4, Descendant: 3755
Ancestor: 5, Descendant: 2806
Ancestor: 6, Descendant: 2437
Ancestor: 7, Descendant: 3428
Ancestor: 8, Descendant: 3449
Ancestor: 9, Descendant: 3940
