Ancestor: 0, Descendant: 4093
Ancestor: 1, Descendant: 4144
Ancestor: 2, Descendant: 4475
Ancestor: 3, Descendant: 3716
Ancestor: 4, Descendant: 3967
Ancestor: 5, Descendant: 1788
Ancestor: 6, Descendant: 4689
Ancestor: 7, Descendant: 4470
Ancestor: 8, Descendant: 4761
Ancestor: 9, Descendant: 4912
